group_name,company,group_type,debute_year,disband_year,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,others,last_production_year,total_releases,lifespan
SHA SHA,major_entertainment,0,2017,2019,0,0,6,3,6,6,0,0,0,0,2,1,0,0,0,0,0,0,0,2018,3,3
S#aFLA,vine_entertainment,0,2018,2019,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2
She'Z,line_entertainment,0,2012,2014,3,0,4,4,4,0,0,0,1,0,1,5,0,0,0,0,0,0,1,2014,8,3
SHINVI,cid.k_entertainment,0,2002,2003,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2002,3,2
SIOSIJAK,good_dream_entertainment,0,2018,2020,4,0,4,2,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,3
SISTAR,starship_entertainment,0,2010,2017,7,0,4,4,4,0,1,2,4,2,3,4,0,0,0,0,0,0,3,2017,18,8
Six Bomb,world_event_agency,0,2012,2012,3,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,1
SKarf,alpha_entertainment,0,2012,2014,2,0,5,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2013,2,3
Sol-T,probeat_company,0,2016,2017,0,0,6,4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2016,2,2
SPICA,colabs,0,2012,2017,4,0,5,5,5,0,1,0,2,0,0,5,1,0,0,0,0,1,3,2016,12,6
Stellar,the_entertainment_pascal,0,2011,2018,5,0,4,0,4,8,0,0,3,0,1,6,0,0,0,0,0,0,1,2017,11,8
Sugar Moon,bigband_entertainment,0,2016,2016,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1
Sugar Tint,ramah_entertainment,0,2018,2019,2,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
Sunny Days,haeun_entertainment,0,2012,2016,3,0,5,1,6,11,0,0,0,0,0,6,1,0,0,0,0,0,1,2015,8,5
Sunny Play,make_d_entertainment,0,2017,2018,0,0,9,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
SUPA,sp_entertainment,0,2016,2018,1,0,5,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,3
SWAN,forasia_entertainment,0,2007,2007,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007,1,1
Swi.T,yg_entertainment,0,2002,2004,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2002,1,3
Switch Berry,dam_entertainment,0,2012,2018,2,0,4,0,4,15,0,0,0,0,0,4,0,0,0,0,0,0,0,2016,4,7
T-ARA,mbk_entertainment,0,2009,2017,4,0,4,4,6,4,2,1,9,2,0,10,0,3,0,0,9,1,11,2017,46,9
T.T.Ma,music_factory_entertainment,0,1999,2002,0,0,5,3,5,4,0,2,0,0,0,1,0,0,0,0,0,0,0,2007,3,4
Tahiti,dreamstar_entertainment,0,2012,2018,6,0,4,3,6,7,0,0,2,0,0,5,0,0,0,0,0,0,2,2016,9,7
The Ark,music_k_entertainment,0,2015,2016,5,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
THE GLOSS,mgmc_korea_limited,0,2013,2014,5,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,2
The Grace,sm_entertainment,0,2005,2015,0,0,3,3,4,1,0,1,0,0,4,0,0,2,0,0,7,0,0,2013,14,11
The Lush,oscar_entertainment,0,2013,2017,0,0,3,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2017,8,5
The SeeYa,core_contents_media,0,2012,2016,0,0,4,4,4,0,0,0,1,0,0,4,0,0,0,0,0,0,3,2014,8,5
The Starz,shin_enetrtainment,0,2015,2017,0,0,4,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2016,2,3
TINT,gh_entertainment,0,2013,2015,3,0,5,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2014,2,3
Tiny-G,gng_production,0,2012,2015,0,0,3,3,4,1,1,0,0,0,0,4,0,0,0,0,0,1,2,2014,7,4
To-Ya,norman_entertainment,0,2000,2003,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,2,4
TREN-D,baeksang_entertainment,0,2013,2016,4,0,5,1,5,8,0,0,0,1,0,3,0,0,0,0,0,0,0,2015,4,4
TROPICAL,luk_factory,0,2018,2019,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
TURAN,starpro_entertainment,0,2013,2016,2,0,6,0,7,14,0,0,1,0,0,1,0,0,1,0,0,0,0,2016,3,4
Two X,star_gaze_entertainment,0,2012,2017,4,0,4,4,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2016,3,6
U-HOO,vida_records,0,2017,2018,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
U-US,erum_entertainment,0,2016,2019,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2018,2,4
UNI.T,pocketdol_studio,0,2018,2018,5,0,9,9,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2018,2,1
UNICA,j-mate_entertainment,0,2017,2018,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
Unicorn,cartoon_blue_company,0,2015,2017,5,0,4,4,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2016,2,3
UNIZ,c2k_entertainment,0,2015,2016,2,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
Ureka,hy_company,0,2016,2018,2,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,3
Vanilla Lucy,hanmaek_entertainment,0,2010,2011,1,0,4,4,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2011,4,2
Various,cowl_entertainment,0,2016,2018,5,0,4,1,5,8,0,0,0,0,0,3,0,0,0,0,0,0,0,2018,3,3
Vetty-L,oh_entertainment,0,2014,2016,3,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,3
VIVA,shine_e&m,0,2017,2019,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,3
VIVIDIVA,dn_entertainment,0,2015,2016,5,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2
WANNA.B,zenith_media_contents,0,2014,2019,6,0,4,0,4,11,0,0,0,0,0,5,0,0,0,0,0,0,0,2019,5,6
Wassup,colabs,0,2013,2019,3,0,4,4,7,3,0,0,3,0,0,5,0,0,0,0,0,0,1,2017,9,7
Whiteday,wd_entertainment,0,2019,2020,5,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2
Wonder Girls,jyp_entertainment,0,2007,2017,3,0,4,3,6,5,0,3,2,0,4,5,0,1,2,0,0,7,1,2017,25,11
Ye-A,colabs,0,2014,2015,3,0,7,4,8,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
Year 7 Class 1,dareun_byeol_entertainment,0,2014,2018,5,0,7,7,7,0,0,0,1,0,0,7,0,0,0,0,1,0,0,2017,9,5
Yellow Bee,addiction_entertainment,0,2017,2020,4,0,5,0,5,10,0,0,0,0,0,3,0,0,0,0,0,0,0,2019,3,4
YJIG,gr_entertainment,0,2018,2019,4,0,3,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
015b,the015b,1,1990,1996,3,0,4,4,4,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1996,8,7
14U,bg_entertainment,1,2017,2019,7,0,14,13,14,2,0,0,0,0,3,1,0,0,0,0,0,0,1,2018,5,3
1Team,liveworks_company,1,2019,2021,6,0,5,5,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2020,4,3
1the9,colabs,1,2020,2020,5,0,9,9,9,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2020,5,1
1tym,yg_entertainment,1,1998,2006,1,0,4,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,2,2005,7,9
2am,jyp_entertainment,1,2008,2015,4,0,4,4,4,0,0,3,3,0,2,0,0,1,0,0,5,1,0,2014,15,8
2pm,jyp_entertainment,1,2008,2017,8,0,6,6,7,1,0,6,1,0,3,6,0,5,0,0,12,0,1,2016,34,10
5urprise,fantagio_music,1,2014,2020,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2016,5,7
A'st1,dsp_media,1,2008,2009,0,0,6,6,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2009,2,2
A-jax,dsp_media,1,2012,2019,7,0,5,4,7,4,0,0,2,0,1,3,0,0,0,0,4,0,0,2018,10,8
A-prince,excellent_entertainment,1,2011,2015,3,0,5,1,5,8,0,0,3,0,1,3,0,0,0,0,0,0,0,2014,7,5
A6P,ds_entertainment,1,2015,2016,3,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
AA,wellmade_starm,1,2011,2015,4,0,6,5,5,1,1,0,1,0,1,3,0,0,0,0,0,0,0,2013,5,5
all-star,burnhard_entertainment,1,2015,2017,3,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,3
alldayz,guys_ent,1,2017,2017,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1
astin,kingtop_entertainment,1,2019,2019,3,0,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2019,1,1
axisB,axb_entertainment,1,2016,2017,6,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2017,3,2
B.A.P,ts_entertainment,1,2012,2019,5,0,4,4,6,2,1,2,5,1,8,4,0,3,0,0,9,0,0,2018,32,8
B.heart,poong_entertainment,1,2016,2018,4,0,4,4,4,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2017,7,3
B.I.T(2017),sd.ent,1,2017,2017,0,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,1
B.O.i,m.fel_entertainment,1,2013,2013,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,1
baikal,baikal_entertainment,1,2017,2019,5,0,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,3
be.A,chrome_entertainment,1,2014,2017,5,0,5,5,5,2,0,0,1,0,1,4,0,0,0,0,0,0,1,2017,7,4
beatwin,elen_entertainment,1,2017,2017,6,0,5,5,6,1,0,0,2,0,0,5,0,0,0,0,3,0,1,2017,11,1
BECZ,h&h_entertainment,1,2020,2020,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,1
Boyfriend,starship_entertainment,1,2011,2019,3,0,6,6,6,0,0,1,5,0,3,3,0,3,1,0,12,0,0,2019,28,9
big brain,major9,1,2015,2017,4,0,4,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2016,5,3
bigstar,brave_entertainment,1,2012,2019,5,0,5,5,5,0,0,0,3,0,0,4,0,0,0,0,0,0,1,2015,8,8
BLACK6IX,black_hole_entertainment,1,2017,2021,5,0,6,6,6,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2020,5,5
BLANC7,jackpot_entertainment,1,2017,2019,5,0,7,7,7,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2018,4,3
BLAST,kings_entertainment,1,2014,2015,2,0,5,0,5,12,0,0,0,0,0,2,0,0,0,0,0,0,0,2014,2,2
BLK,byking_entertainment,1,2017,2018,5,0,7,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,2
Boys Republic,colabs,1,2013,2018,6,0,5,5,5,0,0,0,3,0,0,5,0,1,0,0,5,0,1,2018,15,6
BOYS24,cj_e&m,1,2016,2017,1,0,8,8,8,0,5,2,0,0,1,1,0,0,0,0,0,0,0,2017,4,2
BLT,colabs,1,2014,2015,4,0,7,4,7,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2015,2,2
Buzz(1),in_next_trend,1,2003,2006,2,0,5,5,7,2,0,1,3,1,0,3,0,0,0,0,0,0,8,2006,16,4
C-CLOWN,yedang_entertainment,1,2012,2015,0,0,6,6,6,0,0,0,4,0,0,3,0,0,0,0,0,0,0,2014,7,4
Champs,js_entertainment,1,2013,2015,2,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2014,2,3
cici,upvote_entertainment,1,2019,2019,5,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,1
Code-V,code_m_agency,1,2010,2018,3,0,5,3,6,4,0,1,0,0,0,2,0,5,0,1,18,0,2,2018,29,9
bless,code_m_agency,1,2007,2010,3,0,3,3,5,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2009,4,4
dmtn(1),2works_entertainment,1,2010,2013,1,0,6,6,6,0,0,0,2,0,0,3,0,0,0,0,0,0,1,2013,6,4
Double Eight,hy_company,1,2015,2017,3,0,6,3,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,3
Drunken Tiger,feel_ghood_music,1,1998,2018,2,0,2,2,2,0,0,10,0,0,0,4,0,0,0,0,0,0,4,2018,18,21
E7,excellent_entertainment,1,2012,2013,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012,1,2
ELVIN CREW,hicc,1,2017,2017,3,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1
ENOi,kithewhale_company,1,2019,2021,2,0,7,7,7,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2020,4,3
FALLANC,rf_entertainment,1,2018,2019,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
FameUs,colabs,1,2014,2016,3,0,6,6,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2015,3,3
GIDONGDAE,2y_entertainment,1,2021,2021,7,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,1
god(1),jyp_entertainment,1,1999,2005,4,0,5,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2005,9,7
H.O.T,sm_entertainment,1,1996,2001,0,0,5,5,5,0,0,5,0,4,0,0,0,0,0,0,0,0,2,2001,11,6
HBY,opus_entertainment,1,2017,2020,5,0,4,4,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2019,2,4
HeartB,marblepop_entertainment,1,2014,2016,6,0,4,4,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2015,6,3
Herycle,gul_dduk_entertainment,1,2012,2014,3,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,3
Hidden,yanus_music,1,2015,2016,1,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2016,3,2
HIGH4,n.a.p._entertainment,1,2014,2017,8,0,4,4,4,0,1,0,2,0,0,5,1,0,2,0,0,0,0,2017,10,4
BEAST,cube_entertainment,1,2009,2016,6,0,4,4,6,2,0,3,8,1,0,11,0,3,0,0,9,8,12,2016,55,8
HISTORY�,fave_entertainment,1,2013,2017,6,0,5,5,5,0,0,0,5,0,1,0,0,0,1,0,2,0,0,2016,9,5
HONEYST,fnc_entertainment,1,2017,2019,6,0,4,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2019,6,3
HOTSHOT,star_crew_entertainment,1,2014,2021,6,1,6,6,6,0,0,0,2,0,1,2,0,0,0,0,1,0,0,2018,6,8
Hwang Project,jellyfish_entertainment,1,2008,2011,0,0,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2011,2,4
I-REX,tarzan_entertainment,1,2013,2014,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,2
INX,na_entertainment,1,2016,2017,5,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
JACE,right_achievement_group,1,2014,2016,4,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2015,4,3
JBJ,loen_entertainment,1,2017,2018,5,0,6,6,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2018,3,2
Kingdom�2018,independent,1,2018,2018,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,1
LC9,nega_network,1,2013,2015,4,0,5,5,6,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2014,3,3
LedT,starkim_entertainment,1,2010,2016,2,0,3,1,5,11,0,0,3,0,2,8,0,0,0,0,0,0,2,2014,15,7
LUNAFLY,nega_network,1,2012,2017,4,0,2,2,5,3,0,1,1,0,2,4,0,1,0,0,0,1,2,2016,12,6
M.Crown,star_pro_entertainment,1,2015,2016,3,0,10,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
MADTOWN,gni_entertainmen,1,2014,2017,3,0,7,7,7,0,0,0,3,0,0,1,0,0,1,0,0,0,1,2016,6,4
MASC,j_planet_entertainment,1,2016,2020,7,0,4,2,4,6,0,0,1,0,0,3,0,0,0,0,0,0,0,2019,4,5
MR.MR,e-ho_entertainment,1,2012,2018,5,0,5,3,5,6,0,0,2,0,0,7,0,0,0,0,5,0,0,2018,14,7
MYTEEN,the_music_works,1,2017,2019,4,0,6,6,7,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2018,3,3
N-SONIC,c2k_entertainment,1,2011,2016,5,0,6,3,6,7,0,0,3,0,0,5,0,0,0,0,0,1,1,2016,10,6
NewBlood,hem_entertainment,1,2015,2016,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
NOM�,jm_star_entertainment,1,2013,2016,2,0,5,5,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2015,5,4
NPI,new_planet_entertainment,1,2015,2016,3,0,6,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2
NUBOYZ,starship_entertainment,1,2014,2014,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,1,1
One O One,starhaus_entertainment,1,2015,2019,5,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2016,3,5
Phantom,brand_new_music,1,2011,2017,2,0,3,3,3,0,0,1,2,0,8,0,1,0,0,0,0,0,4,2015,16,7
PUREBOY,it_entertainment,1,2014,2018,4,0,5,0,11,16,1,0,1,0,0,1,0,0,0,0,1,0,1,2015,4,5
RAINZ,kiss_entertainment,1,2017,2018,7,0,7,7,7,0,0,0,2,0,0,1,0,0,0,0,2,0,1,2018,6,2
Road Boyz,coconut_entertainment,1,2015,2016,5,0,5,5,5,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2016,6,2
SECHSKIES(1),dsp_media,1,1997,2000,3,0,6,6,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2000,5,4
Seo Taiji and Boys,bando_records,1,1992,1996,0,0,3,3,3,0,0,4,0,4,1,0,0,0,0,0,0,0,0,1996,9,5
Seven O'clock,forest_network,1,2017,2021,7,0,7,7,8,1,0,0,3,0,1,1,1,0,0,0,0,0,4,2020,10,5
Solid,riak,1,1993,1997,5,0,3,3,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1997,6,5
SPECTRUM�,wynn_entertainment,1,2018,2020,6,0,6,6,7,1,0,0,2,0,2,1,0,0,0,0,0,0,0,2020,5,3
SPEED,mbk_entertainment,1,2013,2015,2,0,8,8,8,0,0,2,3,0,0,2,0,0,0,0,0,0,2,2015,9,3
SS501,dsp_media,1,2005,2010,0,0,5,5,5,0,1,1,2,2,3,6,0,2,0,0,3,0,8,2010,27,6
T-MAX,planet905_entertainment,1,2007,2012,0,0,4,2,3,3,0,1,0,0,1,4,1,0,0,0,1,0,5,2011,13,6
T.E.N,narda_entertainment,1,2018,2018,2,0,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,1,1
The King,stallion_entertainment,1,2014,2019,5,0,5,5,5,0,0,0,1,0,0,4,0,0,1,0,0,0,1,2019,7,6
The LEGEND,ss_entertainment,1,2014,2016,3,0,5,5,5,0,0,0,2,0,1,3,0,0,0,0,0,0,0,2016,6,3
TheEastLight.,media_line_entertainment,1,2016,2018,4,0,6,6,6,0,0,0,2,0,0,4,3,0,0,0,0,0,0,2018,9,3
TO.1,the_best_entertainment,1,2018,2018,1,0,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,1
TREI,banana_culture,1,2017,2020,5,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2019,3,4
Trophy,family_music_entertainment,1,2015,2016,4,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2
TROY,brand_new_music,1,2014,2017,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2014,2,4
Trusty,playmusic_ground,1,2020,2020,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,1
Turbo(1),the_turbo_company,1,1995,2000,0,0,3,3,3,0,0,5,0,4,0,0,0,0,0,0,0,0,0,2000,9,6
UNB,pocketdol_studio,1,2018,2019,8,0,9,9,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2018,2,2
Underdog,independent,1,2013,2017,2,0,6,1,6,16,0,0,0,0,5,0,0,0,0,0,0,0,0,2015,5,5
VARSITY,jungle_entertainment,1,2017,2020,7,0,5,5,12,7,1,0,1,0,2,2,0,0,0,0,0,0,0,2020,5,4
VERMUDA,pacemaker_entertainment,1,2017,2019,3,0,5,4,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2018,2,3
VX,jj_entertainment,1,2015,2017,6,0,5,5,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2017,4,3
Wanna One,swing_entertainment,1,2017,2019,8,0,11,11,11,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2018,5,3
Welldone Potato,banana_culture,1,2014,2016,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2015,3,3
X1,swing_entertainment,1,2019,2020,6,0,11,11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,1,2
YDPP,starship_entertainment,1,2018,2019,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
ZEST,zenith_media_contents,1,2014,2016,4,0,5,3,6,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2014,2,3
ZPZG,j-star_entertainment,1,2014,2016,2,0,1,1,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,3
